plot,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
131-1--1,,,,,,,חיטה ב',תפוא,חיטה א',תפוא,חיטה א',חיטה ב',גזר,חיטה ב',תפוא,חיטה א'
131-1--2,,,,,,,חיטה ב',תפוא,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא,חיטה א',חיטה ב'
131-2--1,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',שעורה,כרב נח,תפוא,חיטה א'
131-2--2,,,,,,,חיטה ב',תפוא,חיטה א',תפוא,חיטה א',חיטה ב',גזר,חיטה א',חיטה ב',תפוא
131-3,,,,,,,חיטה ב',תפוא,חיטה א',תפוא,חיטה א',חיטה ב',גזר,חיטה ב',חיטה ב',תפוא
131-9--1,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',,חיטה ב',אפונה,חיטה א',חיטה ב',שעורה
131-9--2,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',,חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח
131-9--3,,,,,,,חיטה ב',,אפונה,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',כרב נח
131-9--4,,,,,,,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',כרב נח
132-2,,,,,,,חיטה ב',בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה
132-1,,,,,,,חיטה ב',בקיה,חיטה א',חיטה ב',אפונה,תפוא,חיטה ב',חיטה ב',שעורה,תפוא
132-9--1,,,,,,,חיטה ב',בקיה,חיטה א',חיטה ב',אפונה,כרב נח,,חיטה ב',שעורה,כרב נח
132-9--2,,,,,,,חיטה ב',בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,כרב נח,חיטה א'
133,,,,,,,חיטה ב',בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב'
1061-2,,פפריקה,מללי,חיטה א',תפוא ,חיטה א',פטרוזיליה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',פטרוזיליה
1061-3,,פפריקה,מללי,חיטה א',תפוא ,חיטה א',פטרוזיליה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',פטרוזיליה
1063-2,,פפריקה,מללי,תפוא,חיטה א',גזר,חיטה א' + גזר,חיטה ב' + פטרוזיליה,תפוא,חיטה א',סלרי,חיטה א',תפוא,חיטה א',חימצה,חיטה א'
1063-3,,פפריקה,מללי,תפוא,חיטה א',גזר,חיטה א' + גזר,חיטה ב' + פטרוזיליה,תפוא,חיטה א',סלרי,חיטה א',תפוא,חיטה א',חימצה,חיטה א'
1064,,חיטה א',תפוא ,חיטה א',מללי,חיטה א',תפוא,חיטה א',חיטה ב',חיטה ג',תפוא,חיטה א',גזר / מללי,חיטה א',תפוא,חיטה א'
137,,,תפוא ,חיטה א',חיטה ב' / גזר,גזר + חיטה א',תפוא, תפוא,חיטה א' + חיטה ב',חיטה ב' + חיטה ג',תפוא ,חיטה א',חיטה ב',חיטה ג',פפריקה,חיטה א'
134-1--1,,,חיטה ב',פפריקה,תפוא,כרב נח,חיטה א',שמיר,כרב נח,תפוא,גזר,פפריקה,חיטה א',תפוא,טף,חיטה א'
134-1--2,,,חיטה ב',פפריקה,תפוא,כרב נח,חיטה א',שמיר,כרב נח,תפוא,גזר,פפריקה,חיטה א',תפוא,טף,חיטה א'
134-2,,,חיטה ב',פפריקה,תפוא,כרב נח,חיטה א',פטרוזיליה,כרב נח,תפוא,חיטה א',גזר,חיטה א',תפוא ,חיטה א',חיטה ב'
138-1,,,חיטה ,חיטה ב' / גזר קיץ,חיטה א' + גזר,תפוא,סלרי,חיטה א',חיטה ב',אפונה + לפתית,תפוא ,חיטה א',(גזר/מללי) + חיטה ב',חיטה א' + שעורה,פפריקה/מללי,חיטה א'
138-2,,,חיטה ,חיטה ב' / גזר קיץ,חיטה א' + גזר,תפוא,סלרי,חיטה א',חיטה ב',אפונה + לפתית,תפוא,חיטה א',(גזר/מללי) + חיטה ב',חיטה א' + שעורה,פפריקה/מללי,חיטה א'
139-3,,,תפוא ,חיטה א',חיטה ב',פטרוזיליה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',חימצה,תפוא
139-4,,,תפוא ,חיטה א',חיטה ב',פטרוזיליה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',חימצה,תפוא
140-3,,,חיטה,תפוא,חיטה א',חיטה ב',חיטה ב',חיטה ג',תפוא,חיטה א' / גזר,גזר + חיטה ב',חיטה א' + כרב נח,תפוא,חיטה א',חיטה ב',שעורה
140-4,,,חיטה,תפוא,חיטה א',חיטה ב',חיטה ב',חיטה ג',תפוא,חיטה א' / גזר,גזר + חיטה ב',חיטה א' + כרב נח,תפוא,חיטה א',חיטה ב',שעורה
141-1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,שעורה
141-2,,,חיטה ב',אפונה,תפוא ,גזר קיץ,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',אפונה,שעורה,תפוא,שעורה
141-3,,,חיטה ב',אפונה,תפוא ,גזר קיץ,חיטה א',חיטה ב',סלרי,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
143-3--1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,תפוא ,חיטה א',חיטה ב',שעורה
143-5,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,תפוא ,חיטה א',חיטה ב',שעורה
143-1--1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,שעורה,תפוא,חיטה א',חיטה ב'
143-2--1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,שעורה,תפוא,חיטה א',חיטה ב'
143-1--2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א'
143-2--2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א'
143-3--2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,תפוא,חיטה א',גזר,חיטה א'
143-4--1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,תפוא ,חיטה א',גזר,חיטה א'
143-4--2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',שעורה,תפוא,חיטה א',חיטה ב',שעורה
143-9,,,,חומוס,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,אפונה,חיטה א',חיטה ב',שעורה
144-1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
144-2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
144-3,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
144-4,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
144-5,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
145-1,,,,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',שעורה,אבטיח
145-2,,,,,,,אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',חיטה ב',חיטה א',חיטה ב',אבטיח
146-1,,,,,,,בקיה,תפוא,חיטה א',תפוא,חיטה א',גזר,חיטה ב',תפוא,חיטה א',חיטה ב'
146-9--1,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה
146-9--2,,,,,,,בקיה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',שעורה
147,,,,,,,בקיה+אפונה,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',חיטה ב',שעורה,חימצה,חיטה א'
155-1,,,אפונה,תפוא,חיטה א',חיטה ב',חיטה ג',חיטה ד',כרב נח,חיטה א',תפוא,תפוא,חיטה א',חיטה ב',כרב נח,כרב נח
155-2,,,אפונה,תפוא,חיטה א',חיטה ב',גזר,חיטה א',תפוא,חיטה א',תפוא,תפוא,חיטה א',חיטה ב',מללי,תפוא
155-3,,,אפונה,תפוא,חיטה א',חיטה ב',גזר,חיטה א',תפוא,חיטה א',תפוא,תפוא,חיטה א',חיטה ב',מללי,תפוא
148,,,חיטה / פפריקה,תפוא,חיטה א',חיטה ב',חיטה ב',חיטה ב',תפוא,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה,כרב נח
152-1,,,חיטה,מללי,חיטה א',חיטה ב',חיטה ב',תפוא,חיטה א' / גזר,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה
152-2,,,חיטה,מללי,חיטה א',חיטה ב',חיטה ב',תפוא,חיטה א' / גזר,חיטה א',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה
150-1,,,אפונה,תפוא,חיטה א',חיטה ב',גזר,חיטה א',תפוא,חיטה א',חיטה ב' / פפריקה,כרב נח,תפוא,חיטה א',חיטה ב',שעורה
150-2,,,אפונה,תפוא,חיטה א',חיטה ב',גזר + חיטה ג',חיטה א' + חיטה ד',תפוא,חיטה א',חיטה ב',כרב נח,תפוא,חיטה א',חיטה ב',שעורה
126-1--1,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',תפוא,חיטה א',חיטה ב',פפריקה
126-1--2,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',סלרי / מללי,חיטה א',חיטה ב',תפוא
126-1--3,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',סלרי / מללי,חיטה א',חיטה ב',תפוא
126-2--1,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',סלרי/מללי,חיטה א',חיטה ב',תפוא
126-2--2,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',סלרי/מללי,חיטה א',חיטה ב',פפריקה
126-2--3,,,חיטה,חיטה ב',חיטה ב' (אוחד עם מטוס),תפוא,חיטה א',סלרי,חיטה א' + (סלרי / מללי),חיטה א' + חיטה ב',תפוא,חיטה א',סלרי/מללי,חיטה א',חיטה ב',תפוא
156-1--1,,,חיטה ג',חומוס,תפוא,סלרי,פטרוזיליה,חיטה א',חיטה ב',תפוא ,חיטה א',חימצה,חיטה א',תפוא ,חיטה א',בצל
156-2--1,,,חיטה,חומוס,תפוא ,חיטה א',גזר,חיטה א',חיטה ב',תפוא ,חיטה א',חימצה,חיטה א',תפוא,חיטה א',בצל
156-1--2,,,חיטה ג',חומוס,תפוא,סלרי,פטרוזיליה,חיטה א',חיטה ב',תפוא ,חיטה א',סלרי + חיטה ב' + בצל,חיטה א',תפוא ,חיטה א',חיטה ב'
156-2--2,,,חיטה,חומוס,תפוא ,חיטה א',גזר,חיטה א',חיטה ב',תפוא ,חיטה א',סלרי + חיטה ב' + בצל,חיטה א',תפוא ,חיטה א',חיטה ב'
186,,,,,,,חיטה,חיטה,אפונה,חיטה א',תפוא,חיטה א',תפוא,חיטה א',חיטה ב',שעורה
158-1,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ב',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,חימצה בעל
158-2,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ב',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,כרב נח
159-1,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',תפוא,חיטה א' + שעורה,גזר,חיטה א',תפוא
159-2,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ג',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',גזר,חיטה א',תפוא
159-9,,,,חיטה ב',חומוס,חיטה א',חיטה ב',חיטה ב',אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',שעורה,כרב נח
170-1,,,,,,,,תפוא,חיטה,חיטה,אפונה,חיטה א',כרב נח,חיטה א',כרב נח,חיטה א'
170-2,,,,,,,,תלתן,חיטה,כרב נח,כרב נח,,,,חיטה א',חיטה ב'
1056-1--1,,כרב נח + חיטה ב',פטרוזיליה,תפוא,פפריקה,מללי,חיטה א',תפוא,גזר,חיטה א',חיטה ב',תפוא ,חיטה א',חימצה,חיטה א',תפוא
1056-2--1,,כרב נח + חיטה ב',פטרוזיליה,תפוא,פפריקה,מללי,חיטה א',תפוא,גזר,חיטה א',חיטה ב',תפוא ,חיטה א',חימצה,חיטה א',תפוא
1056-1--2,,כרב נח + חיטה ב',פטרוזיליה,תפוא,פפריקה,מללי,חיטה א',תפוא,גזר,חיטה א',חיטה ב',תפוא ,חיטה א',חימצה,חיטה א',תפוא
1056-2--2,,כרב נח + חיטה ב',פטרוזיליה,תפוא,פפריקה,מללי,חיטה א',תפוא,גזר,חיטה א',חיטה ב',תפוא,חיטה א',חימצה,חיטה א',תפוא
1055-1,,פטרוזיליה,פפריקה,תפוא,חיטה א',גזר,חיטה א',תפוא,תפוא ,סלרי,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
1055-2,,פטרוזיליה,פפריקה,תפוא,חיטה א',גזר,חיטה א',תפוא ,תפוא ,סלרי,חיטה א',תפוא,חיטה א',גזר,חיטה א',תפוא
164,,,תפוא,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',כרב נח,חיטה א',גזר/פפריקה,כרב נח,תפוא,חיטה א',טף,פפריקה
168-1,,,חיטה,תפוא,פפריקה,מללי,חיטה א',חיטה ב',תפוא,חיטה א',גזר,חיטה א',תפוא ,חיטה א',חיטה ב',שעורה
168-2,,,חיטה,תפוא ,פפריקה,מללי,חיטה א',חיטה ב',תפוא,חיטה א',גזר+חימצה,חיטה א',תפוא,חיטה א',חיטה ב',שעורה
167,,,,,,,אפונה,תפוא ,חיטה ב',תפוא,חיטה א',גזר+כרב נח,חיטה ב',תפוא,חיטה א',חיטה ב'
166-1,,,,,,,אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',,חיטה א',חיטה ב',שעורה
166-2,,,,,,,אפונה,תפוא,חיטה ב',תפוא ,חיטה א',חיטה ב',גזר/מללי,חיטה א',חיטה ב',שעורה
165-1,,,,,,,אפונה,חיטה א',חיטה ב',כרב נח,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה
165-2,,,,,,,אפונה,חיטה א',חיטה ב',תפוא ,חיטה א',חיטה ב'+כרב נח,חיטה ב'+אפונה,חיטה א',חיטה ב',שעורה
165-3,,,,,,,אפונה,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',,חיטה א',חיטה ב',שעורה
2010,,,,,,תפוא,חיטה א',חיטה ב',רימונים,רימונים,רימונים,רימונים,רימונים,רימונים,רימונים,רימונים
182-1,,,חיטה ב',חומוס,תפוא ,חיטה א',חיטה ב',חיטה ב',אפונה,תפוא,גזר,חיטה א' + כרב נח,שעורה,תפוא ,חיטה א',חיטה ב'
182-2,,,חיטה ב',חומוס,תפוא,חיטה א',חיטה ב',חיטה ב',אפונה,תפוא,גזר + חיטה א',חיטה א' + כרב נח + חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
182-3,,,חיטה ב',חומוס,תפוא ,חיטה א',חיטה ב',חיטה ב',אפונה,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב'
181-1,,,תפוא ,סלרי / מללי,חיטה א',שמיר,חיטה א',תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
181-2,,,תפוא ,סלרי / מללי,חיטה א',חיטה ב',גזר,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
181-3,,,תפוא ,סלרי / מללי,חיטה א',חיטה ב',גזר,תפוא,חיטה א',חיטה ב',שעורה,תפוא,חיטה א',חיטה ב',שעורה,תפוא
185-1,,,,,,,חיטה,תלתן,אפונה,כרב נח,חיטה א',חיטה ב',אפונה,חיטה א',חיטה ב',שעורה
185-2,,,,,,,תפוא ,לא רשום,אפונה,חיטה א',לא רשום,לא רשום,שעורה,חיטה א',חיטה ב',שעורה
185-3,,,,,,,חיטה,חיטה,אפונה,כרב נח,חיטה א',חיטה ב',שעורה,חיטה א',חיטה ב',שעורה
180-1,,,חיטה,גזר,סלרי / מללי,חיטה א',תפוא,סלרי / מללי,חיטה א',חיטה ב',חיטה ג',תפוא,חיטה א',חיטה ב',חימצה,תפוא
180-2,,,חיטה,גזר,סלרי / מללי,חיטה א',תפוא , תפוא,סלרי + חיטה א',חיטה א' + חיטה ב',חיטה ב' + חיטה ג',תפוא,חיטה א',חיטה ב',חימצה,תפוא
180-3,,,חיטה,גזר,סלרי / מללי,חיטה א',חיטה ב',תפוא,סלרי,חיטה א',חיטה ב',תפוא,חיטה א',חיטה ב',חימצה,תפוא
